Probability,temp_relative_chnge,M7_relative_chnge,Measure8
0.632,0.5056,0.1202,0.4349
0.567,0.4528,0.2843,0.8798
0.641,0.5495,0.1069,0.197
0.59,0.5141,0.2197,0.5696
0.649,0.5585,0.1086,0.2002
0.616,0.5582,0.1876,0.1549
0.585,0.6174,0.2383,0.5087
0.599,0.5629,0.2909,0.0953
0.662,0.6288,0.4095,0.5544
0.607,0.5908,0.1499,0.6857
0.598,0.5614,0.2901,0.095
0.626,0.5024,0.1194,0.4321
0.605,0.6167,0.1513,0.4256
0.573,0.547,0.1723,0.3233
0.637,0.5476,0.1065,0.1963
0.569,0.5737,0.1855,0.6067
0.644,0.552,0.1074,0.1979
0.647,0.5555,0.108,0.1992
0.576,0.6167,0.1343,0.6266
0.577,0.6152,0.2375,0.5069
0.634,0.5069,0.1205,0.436
0.597,0.5519,0.1479,0.3693
0.654,0.5085,0.0571,0.0199
0.586,0.618,0.2386,0.5092
0.625,0.5099,0.2402,0.076
0.648,0.5565,0.1082,0.1995
0.584,0.6163,0.2379,0.5078
0.575,0.6161,0.1341,0.6261
0.655,0.5094,0.0572,0.0199
0.616,0.5577,0.1874,0.1548
0.628,0.5033,0.1197,0.4329
0.579,0.6158,0.2377,0.5073
0.591,0.515,0.2201,0.5707
0.616,0.5587,0.1877,0.155
0.648,0.557,0.1083,0.1997
0.596,0.5164,0.2207,0.5722
0.667,0.635,0.4136,0.5599
0.651,0.5605,0.109,0.201
0.649,0.5595,0.1088,0.2006
0.601,0.5817,0.5817,0.5817
0.6,0.5012,0.2311,0.077
0.653,0.5053,0.0568,0.0198
0.657,0.6242,0.4066,0.5504
0.605,0.6156,0.151,0.4249
0.648,0.5575,0.1084,0.1999
0.654,0.5076,0.057,0.0198
0.589,0.5137,0.2195,0.5691
0.663,0.6299,0.4103,0.5554
0.654,0.5071,0.057,0.0198
0.632,0.5051,0.1201,0.4345
0.598,0.5619,0.2903,0.0951
0.59,0.5146,0.2199,0.5701
0.655,0.5099,0.0573,0.0199
0.585,0.6169,0.2381,0.5082
0.676,0.5781,0.2801,0.2015
0.595,0.516,0.2205,0.5717
0.683,0.5625,0.1748,0.932
0.652,0.5044,0.0567,0.0197
0.626,0.5019,0.1193,0.4317
0.682,0.5615,0.1745,0.9303
0.662,0.6282,0.4092,0.5539
0.638,0.5486,0.1067,0.1967
0.687,0.5656,0.1758,0.9371
0.593,0.5155,0.2203,0.5712
0.668,0.6362,0.4143,0.5609
