ID,Probability,voltmean_24hrs,rotatemean_24hrs,vibrationmean_24hrs,,,
1,0.368,-0.4772,-1.7464,-0.79,,,
2,0.312,-0.4757,-1.7411,-0.7876,,,
3,0.326,-0.4743,-1.7359,-0.7853,,,
4,0.34,-0.4729,-1.7307,-0.7829,,,
5,0.357,-0.4715,-1.7255,-0.7806,,,
6,0.329,-0.47,-1.7203,-0.7782,,,
7,0.337,-0.4686,-1.7152,-0.7759,,,
8,0.306,-0.4672,-1.71,-0.7736,,,
9,0.336,-0.4658,-1.7049,-0.7713,,,
10,0.35,-0.4644,-1.6998,-0.7689,,,
11,0.283,-0.5958,-1.3446,-0.2411,,,
12,0.35,-0.594,-1.3405,-0.2404,,,
13,0.295,-0.5938,-1.345,-0.4354,,,
14,0.355,-0.592,-1.3409,-0.4341,,,
15,0.339,-0.5903,-1.3369,-0.4328,,,
16,0.362,-0.5885,-1.3329,-0.4315,,,
17,0.342,-0.5867,-1.3289,-0.4302,,,
18,0.307,-0.585,-1.3249,-0.4289,,,
19,0.362,-0.5832,-1.3209,-0.4276,,,
20,0.331,-0.0887,-1.3154,-0.4556,,,
21,0.347,-0.0887,-1.3154,-0.4556,,,
22,0.313,-0.1166,-1.062,-0.529,,,
23,0.361,-0.9273,-1.7051,-0.555,,,
24,0.332,-0.9245,-1.7,-0.5533,,,
25,0.362,-0.9218,-1.6949,-0.5517,,,
26,0.299,-0.919,-1.6898,-0.55,,,
27,0.31,-0.9163,-1.6848,-0.5484,,,
28,0.339,-0.9135,-1.6797,-0.5467,,,
29,0.293,-0.9108,-1.6747,-0.5451,,,
30,0.385,-0.908,-1.6697,-0.5434,,,
31,0.291,-0.9053,-1.6646,-0.5418,,,
32,0.345,-0.9026,-1.6597,-0.5402,,,
33,0.368,2.0602,1.1396,-0.3968,,,
34,0.346,2.054,1.1362,-0.3956,,,
35,0.308,2.0478,1.1328,-0.3944,,,
36,0.333,2.0417,1.1294,-0.3933,,,
37,0.342,2.0356,1.126,-0.3921,,,
38,0.361,2.0294,1.1226,-0.3909,,,
39,0.364,2.0234,1.1192,-0.3897,,,
40,0.363,2.0173,1.1159,-0.3886,,,
41,0.375,2.0112,1.1125,-0.3874,,,
42,0.383,2.0052,1.1092,-0.3862,,,
43,0.373,1.9992,1.1059,-0.3851,,,
44,0.32,1.9932,1.1025,-0.3839,,,
45,0.318,1.9872,1.0992,-0.3828,,,
46,0.38,1.9812,1.0959,-0.3816,,,
47,0.339,1.9753,1.0927,-0.3805,,,
48,0.366,1.9694,1.0894,-0.3793,,,
49,0.311,1.9635,1.0861,-0.3782,,,
50,0.369,1.9576,1.0828,-0.3771,,,
51,0.329,-0.6373,0.2766,-0.2146,,,
52,0.309,-0.979,-1.3851,-0.1995,,,
53,0.32,-0.976,-1.3809,-0.1989,,,
54,0.387,-0.9731,-1.3768,-0.1983,,,
55,0.386,-0.9702,-1.3727,-0.1977,,,
56,0.379,-0.9673,-1.3685,-0.1971,,,
57,0.355,-0.8174,-1.7414,-0.8074,,,
58,0.368,-0.8174,-1.7414,-0.8074,,,
59,0.347,-0.8174,-1.7414,-0.8074,,,
60,0.383,-0.0742,-1.283,-0.7802,,,
61,0.382,-0.2632,-1.3077,-0.7311,,,
62,0.379,-0.5001,1.1912,-0.2456,,,
63,0.367,-0.2632,-1.3077,-0.7311,,,
64,0.375,-0.2632,-1.3077,-0.7311,,,
65,0.384,-0.5001,1.1912,-0.2456,,,
66,0.366,-0.4986,1.1877,-0.2449,,,
67,0.345,-0.4971,1.1841,-0.2442,,,
68,0.379,-0.4956,1.1805,-0.2434,,,
69,0.408,-0.4941,1.177,-0.2427,,,
70,0.397,-0.4926,1.1735,-0.242,,,
71,0.395,-0.4911,1.17,-0.2413,,,
72,0.319,-0.4897,1.1664,-0.2405,,,
73,0.341,-0.4882,1.1629,-0.2398,,,
74,0.335,-0.4867,1.1595,-0.2391,,,
75,0.396,-0.4853,1.156,-0.2384,,,
76,0.416,-0.4838,1.1525,-0.2377,,,
77,0.329,-0.4824,1.1491,-0.2369,,,
78,0.409,-0.4809,1.1456,-0.2362,,,
79,0.386,-0.4795,1.1422,-0.2355,,,
80,0.409,-0.478,1.1387,-0.2348,,,
81,0.376,-0.4766,1.1353,-0.2341,,,
82,0.376,-0.0013,0.8611,-0.5369,,,
83,0.372,-0.0013,0.8585,-0.5352,,,
84,0.408,-0.0013,0.8559,-0.5336,,,
85,0.349,-0.0013,0.8534,-0.532,,,
86,0.386,-0.0013,0.8508,-0.5304,,,
87,0.381,-0.0013,0.8483,-0.5289,,,
88,0.37,-0.0013,0.8457,-0.5273,,,
89,0.398,-0.0013,0.8432,-0.5257,,,
90,0.421,-0.0013,0.8407,-0.5241,,,
91,0.355,-0.0012,0.8381,-0.5225,,,
92,0.362,-0.0012,0.8356,-0.521,,,
93,0.379,-0.0012,0.8331,-0.5194,,,
94,0.33,-0.0012,0.8306,-0.5178,,,
95,0.385,-0.0012,0.8281,-0.5163,,,
96,0.357,-0.0012,0.8256,-0.5147,,,
97,0.424,-0.0012,0.8232,-0.5132,,,
98,0.389,-0.0012,0.8207,-0.5117,,,
99,0.345,-0.0012,0.8182,-0.5101,,,
100,0.416,-0.0012,0.8158,-0.5086,,,
101,0.346,-0.0012,0.8133,-0.5071,,,
102,0.366,-0.0012,0.8109,-0.5056,,,
103,0.354,-0.0012,0.8084,-0.504,,,
104,0.389,-0.8862,-1.7057,-0.6334,,,
105,0.393,-0.8862,-1.7057,-0.6334,,,
106,0.399,-0.8862,-1.7057,-0.6334,,,
107,0.375,2.1812,1.2466,-0.5022,,,
108,0.363,2.1812,1.2466,-0.5022,,,
109,0.403,2.1747,1.2429,-0.5006,,,
110,0.357,2.1681,1.2391,-0.4991,,,
111,0.378,2.1616,1.2354,-0.4976,,,
112,0.387,2.1551,1.2317,-0.4962,,,
113,0.402,2.1487,1.228,-0.4947,,,
114,0.432,2.1422,1.2243,-0.4932,,,
115,0.385,2.1358,1.2207,-0.4917,,,
116,0.433,-0.8157,-1.3233,-0.1636,,,
117,0.422,-0.8132,-1.3193,-0.1631,,,
118,0.367,-0.8108,-1.3154,-0.1626,,,
119,0.424,-0.8084,-1.3114,-0.1621,,,
120,0.44,-0.8059,-1.3075,-0.1616,,,
121,0.414,-0.8035,-1.3036,-0.1611,,,
122,0.429,-0.8011,-1.2996,-0.1607,,,
123,0.441,-0.7987,-1.2957,-0.1602,,,
124,0.358,-0.7963,-1.2919,-0.1597,,,
125,0.439,1.7295,1.105,-0.3906,,,
126,0.445,1.7243,1.1017,-0.3894,,,
127,0.379,1.7191,1.0984,-0.3882,,,
128,0.386,1.714,1.0951,-0.3871,,,
129,0.362,1.7088,1.0918,-0.3859,,,
130,0.403,1.7037,1.0885,-0.3848,,,
131,0.396,1.6986,1.0852,-0.3836,,,
132,0.361,0.0511,-0.9474,-0.604,,,
133,0.394,-0.5207,-0.0016,-0.4056,,,
134,0.407,-0.5191,-0.0016,-0.4044,,,
135,0.376,-0.5176,-0.0016,-0.4032,,,
136,0.403,-0.516,-0.0016,-0.402,,,
137,0.392,-0.5145,-0.0016,-0.4008,,,
138,0.381,-0.5129,-0.0016,-0.3996,,,
139,0.378,-0.5114,-0.0016,-0.3984,,,
140,0.389,-0.5099,-0.0015,-0.3972,,,
141,0.356,-0.5083,-0.0015,-0.396,,,
142,0.432,-0.5068,-0.0015,-0.3948,,,
143,0.396,-0.5053,-0.0015,-0.3936,,,
144,0.448,-0.5038,-0.0015,-0.3924,,,
145,0.372,-0.5023,-0.0015,-0.3913,,,
146,0.368,-0.5008,-0.0015,-0.3901,,,
